TIPO,DATA,NUMNT,SERIE,CHAVE,CODIGO,DESCRICAO,QTDE,PRECO_UNIT,TOTAL
NFE Ent,2025-04-03 00:00:00,000000001,6,43250000000000019179550060000000011410088130,7898265332065,"CIMENTO VOTORAN 50KG CPIV-32-RS","40.000","38.410","1536.400"
NFE Ent,2025-04-03 00:00:00,000000001,10,43250000000000019157550100000000011155321015,7897255922170,"REJUNTE ACRÍLICO PALHA 1KG QUARTZOLIT","1.000","41.350","41.350"
NFE Ent,2025-04-04 00:00:00,000000001,10,43250000000000019157550100000000011046321016,7897255922170,"REJUNTE ACRÍLICO PALHA 1KG QUARTZOLIT","1.000","41.350","41.350"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011673922992,3649,"COMPENSADO COMUM COLA BRANCA 6MMX1,10MX2,20M","-2.000","52.000","104.000"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7898059540010,"TORN JARDIM PAR PVC B.RE PR B-1/2 HERC","-1.000","5.730","5.730"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7896587033509,"EUC PROTEGE FO (BASE A) 16L","-1.000","416.690","416.690"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7898616976238,"ACABAMENTO REGISTRO C40/16D CR MEIA LUA LG 3814","-2.000","30.730","61.460"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7898143453103,"MASSA CORRIDA PVA DTOOLS 25KG","-1.000","83.230","83.230"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,4817,"LIXA MASSA/MADEIRA 150","-10.000","1.560","15.630"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,1835,"LIXA MASSA/MADEIRA 180","-10.000","1.560","15.630"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7898491218133,"JOELHO MARROM 90° S/S 25FX25F PLASTUBOS","-5.000","2.600","13.020"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7898491218515,"JOELHO AZUL 90° S/R 25FX1/2F PLASTUBOS","-1.000","7.290","7.290"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7898491218287,"LUVA MARROM S/S 25FX25F PLASTUBOS","-1.000","2.600","2.600"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7898491210021,"TUBO MARROM 25MM PLASTUBOS","-24.000","5.210","125.010"
NFE SAIDA,2025-04-04 00:00:00,000000001,1,43250000000000019112550010000000011892996220,7898491218409,"TEE MARROM S/S/S 25FX25FX25F PLASTUBOS","-1.000","2.760","2.760"
NFCe Cupom Saida,2025-04-05 00:00:00,000000001,001,43250000000000019112651010000000011200402100,7891595003094,"PINCEL ROMA 313 50MM = 2"" AMARELO","-1.000","11.000","11.000"
NFCe Cupom Saida,2025-04-05 00:00:00,000000001,001,43250000000000019112651010000000011200383876,7891222043769,"OBTURADOR SAPINHO CAIXA ACOPLADA ASTRA PRETO","-1.000","18.000","18.000"
NFCe Cupom Saida,2025-04-05 00:00:00,000000001,001,43250000000000019112651010000000011200383876,7891494087010,"SPRAY COLORGIN DECOR PRETO BRI 360ML 8701","-1.000","28.000","28.000"
NFCe Cupom Saida,2025-04-05 00:00:00,000000001,001,43250000000000019112651010000000011200402100,7891595005494,"KIT PINTURA 23CM 3PCS ROMA","-1.000","38.000","38.000"
NFCe Cupom Saida,2025-04-05 00:00:00,000000001,001,43250000000000019112651010000000011200383876,7896451844842,"DUCHA LORENZETTI BELLA DUCHA ULTRA 4T 127V 5500W B","-1.000","88.000","88.000"
NFCe Cupom Saida,2025-04-05 00:00:00,000000001,001,43250000000000019112651010000000011200383876,7896587033325,"EUC PROTEGE FO BRANCO 3,6L","-1.000","115.000","115.000"
NFCe Cupom Saida,2025-04-07 00:00:00,000000001,001,43250000000000019112651010000000011245002722,7896689119422,"SUPORTE TV FIXO 10-71"" BRASFORMA","-1.000","23.000","23.000"
NFCe Cupom Saida,2025-04-07 00:00:00,000000001,001,43250000000000019112651010000000011244958178,7897451415803,"APLICADOR SILICONE TUBULAR ALUMINIO 15"" CORTAG","-1.000","125.000","125.000"
NFCe Cupom Saida,2025-04-07 00:00:00,000000001,001,43250000000000019112651010000000011244980456,7899978910700,"MICROCONCRETO FLUIDO HIPERGRAUTE 25KG INKOR 50MPA","-3.000","60.000","180.000"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891222043769,"OBTURADOR SAPINHO CAIXA ACOPLADA ASTRA PRETO","5.000","7.800","39.000"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891194000319,"CADEADO PAPAIZ 20MM CR20","7.000","10.460","73.250"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435094558,"DISJUNTOR DIN BRANCO 2X20A TR3KA CURVA C TRAMO","2.000","22.640","45.280"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896380103157,"PINCEL ATLAS 396 100MM = 4"" LARANJA","5.000","12.160","60.780"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143444934,"BROCA VÍDEA SDS PLUS 2PT 8MMX110MM DTOOLS","2.000","7.070","14.140"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,27891435955181,"CAIXA 4X2"" EMBUTIR PVC RET AMAR TRAMO","25.000","0.970","24.280"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435054606,"LIZFLEX SOBREP 1 INTER SIMPL +1 TOM 20A 250V TRAMO","7.000","12.020","84.120"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143435895,"ALICATE UNIVERSAL 8"" PRO DTOOLS","3.000","24.810","74.430"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896380103140,"PINCEL ATLAS 396 80MM = 3"" LARANJA","4.000","10.090","40.370"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143432412,"ESTILETE GRANDE C/TRAVA LÂMINA 18MM PRO DTOOLS","3.000","8.600","25.810"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435054859,"LIZ 1 INTER SIMPL + 1 TOMADA 3P 20A COMP TRAMO","3.000","10.480","31.450"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896027073010,"DESENGRIPANTE SPRAY 400ML JIMO PENETRIL","2.000","19.830","39.650"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898491210021,"TUBO MARROM 25MM PLASTUBOS","36.000","2.770","99.800"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7896380103126,"PINCEL ATLAS 396 50MM = 2"" LARANJA","12.000","5.140","61.650"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891040036974,"FITA AUTO FUSÃO 2MX19MM SCOTCH 3M","2.000","7.710","15.420"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891960405126,"TUBO DESCIDA INSTALAÇÃO VÁLVULA DESCARGA 38MM/DN40","2.000","8.170","16.340"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898038060690,"REMOVEDOR CERAS/SUJEIR P/PISOS MAD 950ML ALLCHEM","1.000","20.590","20.590"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891595003124,"PINCEL ROMA 313 100MM = 4"" AMARELO","2.000","11.800","23.590"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435966343,"DISJUNTOR DIN BRANCO 1X20A TDJ3 CURVA C TRAMO","3.000","6.340","19.010"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435966367,"DISJUNTOR DIN BRANCO 1X32A TDJ3 CURVA C TRAMO","3.000","6.340","19.010"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898143446372,"CHAVE COMBINADA BOCA/ESTRELA 18MM DTOOLS","1.000","12.880","12.880"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,0736532764379,"TAMPA LATA TINTA PVC 18L (REUTILIZÁVEL)","1.000","13.450","13.450"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891435049282,"CAIXA 4X2"" EMBUTIR PVC AMAR P/GESSO/DRYWALL","10.000","2.750","27.540"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898668362973,"TORN LAV BAN PVC B.TRAD TENERI CR 1/2 HERC","2.000","38.460","76.910"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7891595003117,"PINCEL ROMA 313 80MM = 3"" AMARELO","3.000","8.430","25.290"
NFE Ent,2025-04-07 00:00:00,000000001,1,43250000000000019177550010000000011138981260,7898550255673,"REPARO VÁLV DESCARGA DOCOL 1.1/2 RI-484 BLUKIT","2.000","43.110","86.220"
